wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,Lredwater,redwater,Rredwater,ground,ground,ground,ground,ground,Lbluewater,bluewater,Rbluewater,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,ground,ground,ground,ground,ground,Lgreenwater,greenwater,greenwater,greenwater,Rgreenwater,ground,ground,,,,,,,,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,player1,,,,,,,,,,,,,,,ground,ground,ground,,,,,,,,,,,,,wall
wall,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,ground,ground,,,,,,,,,,,,,,,,wall
wall,,,player2,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,ground,ground,ground,Lredwater,redwater,redwater,Rredwater,ground,ground,ground,Lbluewater,bluewater,bluewater,Rbluewater,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
