wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,door,,,,,,,,,,,,,,,door,,,,,,,,wall
wall,,,,,,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,,,,,,,,,,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,,,,,,,wall
wall,,,,,,,,,,,,dhalfground,dhalfground,dhalfground,,dhalfground,dhalfground,dhalfground,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,Lgreenwater,greenwater,greenwater,greenwater,Rgreenwater,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,switch,,,,,,,,,,,,,,,,,,,,,,,switch,,,,wall
wall,ground,ground,ground,ground,Lbluewater,bluewater,bluewater,Rbluewater,ground,dhalfground,,,,,,,,,,,dhalfground,ground,Lredwater,redwater,redwater,Rredwater,ground,ground,ground,ground,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,dhalfground,dhalfground,dhalfground,dhalfground,dhalfground,dhalfground,dhalfground,dhalfground,,,,,,,,,,,,wall
wall,,,,,,,,,,,dhalfground,,,,,,,,,dhalfground,,,,,,,,,,,wall
wall,player2,,,,,,,,,dhalfground,,,,,,,,,,,dhalfground,,,,,,,,,player1,wall
wall,ground,ground,ground,Lbluewater,bluewater,bluewater,Rbluewater,ground,ground,ground,ground,ground,Lgreenwater,greenwater,greenwater,greenwater,Rgreenwater,ground,ground,ground,ground,ground,ground,Lredwater,redwater,redwater,Rredwater,ground,ground,ground,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
