wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,spike,spike,spike,,,,,,,,,,,,spike,spike,spike,,,,,,,wall
wall,,,,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,,,,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,,,,wall
wall,,,,,,,,uground,,,,,,,,,,,,,,uground,,,,,,,,wall
wall,,,,,,,,uground,,,,,,leftSlope,ground,rightSlope,,,,,,uground,,,,,,,,wall
wall,,blueGem,,,,,,uground,,,,,,uground,uground,uground,,,,,,uground,,,,,,redGem,,wall
wall,,,,,,,,uground,,,,,,,uground,,,,,,,uground,,,,,,,,wall
wall,,,,,,,,uground,,redGem,,,,,uground,,,,,blueGem,,uground,,,,,,,,wall
wall,,fan,,,,,,uground,hlRedWater,hredWater,hrRedWater,,,,uground,,,,hlBlueWater,hblueWater,hrBlueWater,uground,,,,,,fan,,wall
wall,uhalfground,uhalfground,mhalfground,,,,,uground,,,,,,,uground,,,,,,,uground,,,,,mhalfground,uhalfground,uhalfground,wall
wall,,,,,,,,uground,,redGoal,,,spike,,uground,,spike,,,blueGoal,,uground,,,,,,,,wall
wall,,,,mhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,uhalfground,mhalfground,,,,wall
wall,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,ground,wall
wall,uground,ground,dhalfground,dhalfground,dhalfground,hlBlueWater,hblueWater,hblueWater,hblueWater,hrBlueWater,dhalfground,,,,,,,,dhalfground,hlRedWater,hredWater,hredWater,hredWater,hrRedWater,dhalfground,dhalfground,dhalfground,ground,uground,wall
wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall
wall,,,,,,,,,,,,,leftSlope,ground,ground,ground,rightSlope,,,,,,,,,,,,,wall
wall,player1,,,,,,,redGem,,,,leftSlope,uground,uground,uground,uground,uground,rightSlope,,,,blueGem,,,,,,,player2,wall
wall,ground,ground,ground,ground,ground,Lredwater,redwater,redwater,redwater,Rredwater,ground,ground,ground,ground,ground,ground,ground,ground,ground,Lbluewater,bluewater,bluewater,bluewater,Rbluewater,ground,ground,ground,ground,ground,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
